SL.,Station,Year,Month,Humidity (percent),Max_Temperature (Deg.Cel),Min_Temperature (Deg.Cel),Total Rainfall (mm)
1,Jessore (11407),1970,1,71.61,24.89,11.16,31
2,Jessore (11407),1970,2,63.04,28.31,14.31,30
3,Jessore (11407),1970,3,64.35,32.35,20.2,45
4,Jessore (11407),1970,4,69.07,35.19,24.4,87
5,Jessore (11407),1970,5,70.35,34.44,25.65,29
6,Jessore (11407),1970,6,85.6,32.34,25.91,352
7,Jessore (11407),1970,7,87,31.86,25.88,415
8,Jessore (11407),1970,8,85.71,31.85,25.98,280
9,Jessore (11407),1970,9,86.4,30.98,25.63,490
10,Jessore (11407),1970,10,84.1,30.67,23.57,339
11,Jessore (11407),1970,11,71.83,28.14,17.06,10
12,Jessore (11407),1970,12,68.84,25.76,10.8,0
13,Jessore (11407),1971,1,73.03,25.44,11.8,16
14,Jessore (11407),1971,2,68.14,28.2,13.52,0
15,Jessore (11407),1971,3,64.52,33.29,13.43,31
16,Jessore (11407),1971,4,68.07,35.28,13.47,61
17,Jessore (11407),1971,5,75.35,34.75,13.43,141
18,Jessore (11407),1971,6,83.97,32.27,25.28,421
19,Jessore (11407),1971,7,86.94,30.91,25.55,489
20,Jessore (11407),1971,8,86.81,29.81,24.91,500
21,Jessore (11407),1971,9,85.83,32.27,25.65,313
22,Jessore (11407),1971,10,81.9,31.98,25.61,112
23,Jessore (11407),1971,11,76.73,29.58,25.65,15
24,Jessore (11407),1971,12,75.16,26.24,19.94,4
25,Jessore (11407),1972,1,72.74,25.75,11.12,0
26,Jessore (11407),1972,2,65.97,26.13,10.73,4
27,Jessore (11407),1972,3,61.13,34.02,19.42,7
28,Jessore (11407),1972,4,63.93,35.89,23.45,37
29,Jessore (11407),1972,5,70.13,34.76,26.08,22
30,Jessore (11407),1972,6,77,34.06,26.24,110
31,Jessore (11407),1972,7,84.9,32.34,25.78,169
32,Jessore (11407),1972,8,88.1,30.73,24.98,372
33,Jessore (11407),1972,9,84.17,32.63,24.71,131
34,Jessore (11407),1972,10,75.74,32.31,22.75,17
35,Jessore (11407),1972,11,70.47,29.83,16.46,1
36,Jessore (11407),1972,12,66.68,27.47,11.3,0
37,Jessore (11407),1973,1,61.29,27.62,11,0
38,Jessore (11407),1973,2,58.07,31.3,15.46,10
39,Jessore (11407),1973,3,61.32,32.23,17.9,75
40,Jessore (11407),1973,4,61.77,35.64,24.75,32
41,Jessore (11407),1973,5,79.97,33.72,23.88,263
42,Jessore (11407),1973,6,85.2,32.95,25.23,361
43,Jessore (11407),1973,7,87.35,31.46,25.82,214
44,Jessore (11407),1973,8,87.26,31.46,25.6,224
45,Jessore (11407),1973,9,87.4,30.93,25.54,226
46,Jessore (11407),1973,10,83.77,30.53,23.57,131
47,Jessore (11407),1973,11,81.27,27.49,18.12,45
48,Jessore (11407),1973,12,77.19,24.41,12.6,97
49,Jessore (11407),1974,1,70.13,25.08,10.41,0
50,Jessore (11407),1974,2,58.5,28.6,11.49,0
51,Jessore (11407),1974,3,63.55,32.84,18.73,112
52,Jessore (11407),1974,4,74.1,34.53,24.1,44
53,Jessore (11407),1974,5,74.52,34.29,24.23,202
54,Jessore (11407),1974,6,83.23,33.01,25.34,160
55,Jessore (11407),1974,7,89.97,30.66,25.16,353
56,Jessore (11407),1974,8,87.1,31.46,25.61,436
57,Jessore (11407),1974,9,86.97,31.33,25.2,225
58,Jessore (11407),1974,10,82.32,31.91,24.38,99
59,Jessore (11407),1974,11,71.7,29.97,19.3,9
60,Jessore (11407),1974,12,69.19,25.35,10.71,0
61,Jessore (11407),1975,1,68.45,25.24,10.44,7
62,Jessore (11407),1975,2,62.64,28.74,13.34,0
63,Jessore (11407),1975,3,52.61,33.81,18.95,10
64,Jessore (11407),1975,4,62.87,35.8,24.22,10
65,Jessore (11407),1975,5,72.9,34.52,25.02,130
66,Jessore (11407),1975,6,81.5,33.05,25.64,142
67,Jessore (11407),1975,7,89.97,30.62,25.05,444
68,Jessore (11407),1975,8,86.39,31.73,25.38,128
69,Jessore (11407),1975,9,87.4,31.63,25.34,150
70,Jessore (11407),1975,10,84.42,31.65,24.54,215
71,Jessore (11407),1975,11,74.8,27.81,17.36,7
72,Jessore (11407),1975,12,69.9,25.55,10.65,0
73,Jessore (11407),1976,1,69.03,26.45,10.43,0
74,Jessore (11407),1976,2,66.79,28.93,14.55,28
75,Jessore (11407),1976,3,58.26,34.12,20.07,21
76,Jessore (11407),1976,4,61.73,34.96,23.02,68
77,Jessore (11407),1976,5,77.81,33.46,23.67,141
78,Jessore (11407),1976,6,83.53,32.95,25.32,243
79,Jessore (11407),1976,7,87.9,31.89,25.51,253
80,Jessore (11407),1976,8,86.9,31.31,24.88,278
81,Jessore (11407),1976,9,84.53,32.27,25.26,132
82,Jessore (11407),1976,10,76.39,32.32,22.78,11
83,Jessore (11407),1976,11,73.13,30.49,18.45,4
84,Jessore (11407),1976,12,67.39,26.71,10.72,0
85,Jessore (11407),1977,1,66.1,25.49,9.99,1
86,Jessore (11407),1977,2,63.32,29.18,13.72,25
87,Jessore (11407),1977,3,61.42,34.65,21.19,0
88,Jessore (11407),1977,4,75.33,33.94,23.24,162
89,Jessore (11407),1977,5,77.87,32.87,23.47,181
90,Jessore (11407),1977,6,87.63,31.44,25.07,344
91,Jessore (11407),1977,7,87.26,31.44,25.88,301
92,Jessore (11407),1977,8,84.9,32.19,25.96,99
93,Jessore (11407),1977,9,84.77,32.55,25.67,224
94,Jessore (11407),1977,10,79.9,31.54,22.75,93
95,Jessore (11407),1977,11,77.23,29.38,18.99,30
96,Jessore (11407),1977,12,73.16,25.79,11.77,40
97,Jessore (11407),1978,1,73.03,25.75,11.12,3
98,Jessore (11407),1978,2,68.14,28.79,14.04,10
99,Jessore (11407),1978,3,64.52,33.29,19.23,31
100,Jessore (11407),1978,4,68.07,35.28,23.34,61
101,Jessore (11407),1978,5,75.35,34.75,24.84,141
102,Jessore (11407),1978,6,83.97,33.04,25.8,290
103,Jessore (11407),1978,7,86.94,31.95,25.86,300
104,Jessore (11407),1978,8,86.81,31.99,25.85,269
105,Jessore (11407),1978,9,85.83,32.38,25.47,202
106,Jessore (11407),1978,10,81.9,31.98,23.24,112
107,Jessore (11407),1978,11,76.73,29.58,17.66,15
108,Jessore (11407),1978,12,75.16,26.5,12.47,4
109,Jessore (11407),1979,1,69.42,26.28,12.17,45
